iter	Passed	Remaining
258	567	1622
259	568	1618
260	572	1619
261	573	1616
262	575	1612
263	576	1608
264	578	1603
265	579	1599
266	581	1596
267	583	1592
268	584	1588
269	587	1587
270	588	1583
271	589	1578
272	591	1574
273	592	1570
274	593	1565
275	595	1561
276	596	1557
277	598	1553
278	600	1552
279	602	1549
280	604	1545
281	605	1542
282	607	1538
283	609	1535
284	610	1531
285	611	1527
286	613	1524
287	616	1525
288	619	1523
289	620	1519
290	622	1515
291	623	1511
292	624	1507
293	626	1504
294	627	1499
295	630	1499
296	633	1499
297	635	1497
298	637	1494
299	638	1490
300	640	1486
301	641	1482
302	642	1478
303	646	1479
304	648	1476
305	649	1473
306	650	1469
307	652	1465
308	653	1462
309	655	1458
310	656	1454
311	658	1451
312	661	1452
313	674	1473
314	683	1486
315	687	1488
316	692	1491
317	694	1489
318	696	1487
319	708	1504
320	713	1508
321	720	1516
322	722	1513
323	728	1519
324	732	1521
325	735	1521
326	737	1518
327	744	1526
328	747	1524
329	749	1521
330	751	1518
331	752	1514
332	755	1512
333	757	1511
334	759	1508
335	761	1505
336	768	1511
337	773	1514
338	777	1516
339	783	1520
340	784	1516
341	787	1514
342	789	1511
343	791	1508
344	793	1505
345	794	1502
346	796	1498
347	798	1496
348	801	1495
349	804	1493
350	806	1491
351	810	1491
352	813	1491
353	815	1488
354	818	1487
355	820	1484
356	825	1487
357	829	1487
358	831	1484
359	833	1481
360	834	1477
361	836	1474
362	838	1470
363	839	1467
364	840	1463
365	842	1459
366	843	1455
367	844	1451
368	846	1447
369	848	1444
370	850	1442
371	851	1438
372	853	1434
373	854	1430
374	856	1427
375	865	1436
376	866	1432
377	868	1428
378	869	1424
379	870	1420
380	872	1417
381	873	1413
382	875	1409
383	876	1406
384	878	1403
385	881	1401
386	882	1397
387	883	1393
388	885	1391
389	887	1388
390	889	1385
391	890	1381
392	891	1377
393	895	1376
394	897	1374
395	898	1370
396	899	1366
397	901	1363
398	902	1359
399	903	1355
400	905	1352
401	906	1348
402	908	1345
403	910	1342
404	911	1339
405	912	1335
406	914	1332
407	916	1329
408	917	1326
409	919	1322
410	920	1319
411	921	1315
412	925	1314
413	926	1311
414	928	1308
415	929	1304
416	930	1301
417	931	1297
418	933	1293
419	934	1290
420	935	1286
421	936	1282
422	938	1279
423	940	1277
424	942	1274
425	943	1271
426	944	1267
427	945	1264
428	947	1260
429	948	1257
430	949	1253
431	950	1250
432	952	1247
433	955	1246
434	956	1242
435	958	1239
436	959	1236
437	960	1232
438	962	1229
439	963	1226
440	964	1222
441	965	1219
442	967	1215
443	969	1214
444	971	1211
445	972	1208
446	973	1204
447	975	1201
448	976	1198
449	977	1194
450	979	1191
451	980	1188
452	981	1185
453	983	1183
454	985	1180
